"id","name","state_id","district_id","region_status","tier_type","pin_code","icon","created_at","updated_at","status"
"1","Kupwara","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"2","Badgam","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"3","Leh(Ladakh)","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"4","Kargil","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"5","Punch","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"6","Rajouri","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"7","Kathua","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"8","Baramula","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"9","Bandipore","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"10","Srinagar","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"11","Ganderbal","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"12","Pulwama","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"13","Shupiyan","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"14","Anantnag","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"15","Kulgam","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"16","Doda","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"17","Ramban","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"18","Kishtwar","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"19","Udhampur","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"20","Reasi","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"21","Jammu","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
"22","Samba","1",NULL,"0","0",NULL,NULL,"2021-03-30 01:14:53","2021-03-30 01:14:53","1"
