"id","name","phonecode","capital","currency","created_at","updated_at","status"
"2","Aland Islands","+358-18","Mariehamn","EUR","2018-07-20 20:11:03","2020-01-07 10:24:52","1"
"3","Albania","355","Tirana","ALL","2018-07-20 20:11:03","2020-01-07 10:14:37","1"
"4","Algeria","213","Algiers","DZD","2018-07-20 20:11:03","2020-01-07 10:14:37","1"
"5","American Samoa","+1-684","Pago Pago","USD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"6","Andorra","376","Andorra la Vella","EUR","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"7","Angola","244","Luanda","AOA","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"8","Anguilla","+1-264","The Valley","XCD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"9","Antarctica",,,,"2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"10","Antigua And Barbuda","+1-268","St. John's","XCD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"11","Argentina","54","Buenos Aires","ARS","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"12","Armenia","374","Yerevan","AMD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"13","Aruba","297","Oranjestad","AWG","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"14","Australia","61","Canberra","AUD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"15","Austria","43","Vienna","EUR","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"16","Azerbaijan","994","Baku","AZN","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"17","Bahamas The","+1-242","Nassau","BSD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"18","Bahrain","973","Manama","BHD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"19","Bangladesh","880","Dhaka","BDT","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"20","Barbados","+1-246","Bridgetown","BBD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"21","Belarus","375","Minsk","BYR","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"22","Belgium","32","Brussels","EUR","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"23","Belize","501","Belmopan","BZD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"24","Benin","229","Porto-Novo","XOF","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"25","Bermuda","+1-441","Hamilton","BMD","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"26","Bhutan","975","Thimphu","BTN","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
"27","Bolivia","591","Sucre","BOB","2018-07-20 20:11:03","2020-01-07 10:14:38","1"
